starttimes,endtimes,classes
2017-06-04T01:19:13.121300Z,2017-06-04T01:21:19.121300Z,0
2017-06-04T01:19:15.895900Z,2017-06-04T01:21:21.895900Z,2
2017-06-04T01:20:15.892500Z,2017-06-04T01:22:08.892500Z,2
2017-06-04T02:23:25.769400Z,2017-06-04T02:25:44.769400Z,0
2017-06-04T02:23:33.529100Z,2017-06-04T02:25:52.529100Z,2
2017-06-04T03:01:07.607200Z,2017-06-04T03:03:00.607200Z,2
2017-06-04T03:10:37.521500Z,2017-06-04T03:13:16.528300Z,3
2017-06-04T04:18:44.344700Z,2017-06-04T04:20:40.741000Z,3
2017-06-04T05:25:09.093700Z,2017-06-04T05:30:02.185000Z,3
2017-06-04T07:02:48.120700Z,2017-06-04T07:05:14.941400Z,3
2017-06-04T07:16:58.277100Z,2017-06-04T07:18:58.843600Z,3
2017-06-04T07:34:16.498700Z,2017-06-04T07:36:41.042000Z,3
2017-06-04T07:53:35.942000Z,2017-06-04T07:55:26.529400Z,3
2017-06-04T17:46:55.114700Z,2017-06-04T17:47:39.163900Z,1
2017-06-04T18:01:24.083500Z,2017-06-04T18:03:41.356900Z,1
2017-06-04T18:38:47.440700Z,2017-06-04T18:40:35.293100Z,3
2017-06-04T19:14:37.202200Z,2017-06-04T19:16:47.855900Z,3
2017-06-04T19:39:05.553300Z,2017-06-04T19:40:46.737600Z,3
2017-06-04T20:16:41.825100Z,2017-06-04T20:20:10.696100Z,3
2017-06-05T01:35:14.600000Z,2017-06-05T01:39:49.202700Z,3
2017-06-05T02:41:37.574700Z,2017-06-05T02:43:52.034000Z,3
2017-06-05T10:03:46.939100Z,2017-06-05T10:07:06.413400Z,3
2017-06-05T11:47:01.641400Z,2017-06-05T11:49:58.188100Z,1
2017-06-05T16:50:21.248900Z,2017-06-05T16:52:27.248900Z,0
2017-06-05T16:50:24.501000Z,2017-06-05T16:52:17.501000Z,2
2017-06-05T19:14:02.177200Z,2017-06-05T19:17:06.508700Z,3
2017-06-05T20:37:05.090900Z,2017-06-05T20:39:14.429300Z,3
2017-06-05T21:01:02.477700Z,2017-06-05T21:04:40.745600Z,3
2017-06-06T02:30:16.599800Z,2017-06-06T02:32:48.599800Z,2
2017-06-06T02:30:32.094700Z,2017-06-06T02:32:51.094700Z,0
2017-06-06T02:30:32.501000Z,2017-06-06T02:32:51.501000Z,2
2017-06-06T02:58:41.451500Z,2017-06-06T03:00:34.451500Z,2
2017-06-06T02:58:56.282600Z,2017-06-06T03:00:36.282600Z,0
2017-06-06T04:06:30.922800Z,2017-06-06T04:08:53.101000Z,3
2017-06-06T07:06:03.257000Z,2017-06-06T07:08:28.149600Z,3
2017-06-06T09:14:51.434000Z,2017-06-06T09:16:36.316400Z,3
2017-06-06T09:20:57.072100Z,2017-06-06T09:25:41.061400Z,3
2017-06-06T09:31:49.587100Z,2017-06-06T09:34:17.609700Z,3
2017-06-06T11:46:20.342900Z,2017-06-06T11:50:03.521400Z,3
2017-06-06T11:59:25.411700Z,2017-06-06T12:02:15.337700Z,3
2017-06-06T12:02:48.461000Z,2017-06-06T12:05:19.026200Z,3
2017-06-06T12:12:09.988100Z,2017-06-06T12:14:20.588400Z,3
2017-06-06T12:19:51.395400Z,2017-06-06T12:22:59.039100Z,3
2017-06-06T12:42:12.779800Z,2017-06-06T12:46:13.632100Z,3
2017-06-06T12:58:09.700000Z,2017-06-06T13:02:43.119700Z,3
2017-06-06T13:10:28.363400Z,2017-06-06T13:14:35.837500Z,3
2017-06-06T13:15:33.406500Z,2017-06-06T13:20:06.450400Z,3
2017-06-06T13:21:18.822900Z,2017-06-06T13:26:13.847900Z,3
2017-06-06T13:26:26.781800Z,2017-06-06T13:31:54.105500Z,3
2017-06-06T13:32:01.432000Z,2017-06-06T13:37:52.082500Z,3
2017-06-06T13:37:42.586800Z,2017-06-06T13:43:34.134500Z,3
2017-06-06T15:25:33.814500Z,2017-06-06T15:29:26.293800Z,3
2017-06-06T15:51:34.334600Z,2017-06-06T15:55:29.078300Z,3
2017-06-06T16:27:18.636100Z,2017-06-06T16:31:08.785100Z,3
2017-06-06T17:15:44.064000Z,2017-06-06T17:19:24.316800Z,3
2017-06-06T17:29:44.536900Z,2017-06-06T17:33:01.639600Z,3
2017-06-06T17:33:46.387200Z,2017-06-06T17:38:14.061700Z,3
2017-06-07T05:45:09.906600Z,2017-06-07T05:48:43.821600Z,3
2017-06-07T06:43:40.960700Z,2017-06-07T06:47:00.928600Z,3
2017-06-07T06:48:15.040500Z,2017-06-07T06:51:58.464800Z,3
2017-06-07T06:54:40.209500Z,2017-06-07T06:59:36.367300Z,3
2017-06-07T07:01:18.515800Z,2017-06-07T07:05:07.008000Z,3
2017-06-07T08:30:42.035900Z,2017-06-07T08:32:54.167300Z,3
2017-06-07T09:04:14.443400Z,2017-06-07T09:05:27.338400Z,3
2017-06-07T09:14:33.982700Z,2017-06-07T09:16:11.593000Z,3
2017-06-07T11:51:24.777000Z,2017-06-07T11:53:07.712300Z,3
2017-06-07T11:59:17.161300Z,2017-06-07T12:03:37.249400Z,0
2017-06-07T13:09:24.194600Z,2017-06-07T13:11:52.480100Z,3
2017-06-07T13:57:06.386800Z,2017-06-07T14:00:53.685100Z,3
2017-06-07T14:03:36.808700Z,2017-06-07T14:07:33.411900Z,3
2017-06-07T21:09:06.850900Z,2017-06-07T21:09:50.029000Z,3
2017-06-07T21:26:26.658000Z,2017-06-07T21:27:58.155500Z,1
