starttimes,endtimes,classes
2017-06-04T01:37:00.000000Z,2017-06-04T01:38:20.000000Z,1
2017-06-04T01:39:30.000000Z,2017-06-04T01:40:40.000000Z,1
2017-06-04T01:41:40.000000Z,2017-06-04T01:43:40.000000Z,1
2017-06-04T01:58:40.000000Z,2017-06-04T02:00:10.000000Z,1
2017-06-04T02:14:10.000000Z,2017-06-04T02:15:10.000000Z,1
2017-06-04T02:14:40.000000Z,2017-06-04T02:16:10.000000Z,1
2017-06-04T02:19:20.000000Z,2017-06-04T02:20:20.000000Z,1
2017-06-04T02:24:10.000000Z,2017-06-04T02:25:40.000000Z,1
2017-06-04T02:25:10.000000Z,2017-06-04T02:26:00.000000Z,1
2017-06-04T02:34:20.000000Z,2017-06-04T02:35:20.000000Z,1
2017-06-04T02:35:20.000000Z,2017-06-04T02:36:50.000000Z,1
2017-06-04T02:38:30.000000Z,2017-06-04T02:40:00.000000Z,1
2017-06-04T02:41:20.000000Z,2017-06-04T02:43:10.000000Z,1
2017-06-04T02:48:40.000000Z,2017-06-04T02:50:00.000000Z,1
2017-06-04T02:54:50.000000Z,2017-06-04T02:55:40.000000Z,1
2017-06-04T03:24:30.000000Z,2017-06-04T03:26:00.000000Z,1
2017-06-04T03:27:10.000000Z,2017-06-04T03:28:30.000000Z,1
2017-06-04T03:31:20.000000Z,2017-06-04T03:32:20.000000Z,1
2017-06-04T03:31:50.000000Z,2017-06-04T03:33:00.000000Z,1
2017-06-04T03:37:20.000000Z,2017-06-04T03:38:20.000000Z,1
2017-06-04T03:38:00.000000Z,2017-06-04T03:39:40.000000Z,1
2017-06-04T03:39:50.000000Z,2017-06-04T03:41:10.000000Z,1
2017-06-04T03:47:20.000000Z,2017-06-04T03:48:50.000000Z,1
2017-06-04T04:16:10.000000Z,2017-06-04T04:17:40.000000Z,1
2017-06-04T04:25:00.000000Z,2017-06-04T04:26:20.000000Z,1
2017-06-04T06:03:30.000000Z,2017-06-04T06:04:50.000000Z,1
2017-06-04T06:15:50.000000Z,2017-06-04T06:17:00.000000Z,1
2017-06-04T06:22:30.000000Z,2017-06-04T06:24:00.000000Z,1
2017-06-04T06:59:00.000000Z,2017-06-04T07:00:20.000000Z,1
2017-06-04T07:51:10.000000Z,2017-06-04T07:52:00.000000Z,1
2017-06-04T07:51:30.000000Z,2017-06-04T07:52:30.000000Z,1
2017-06-04T09:05:20.000000Z,2017-06-04T09:06:30.000000Z,1
2017-06-04T10:52:40.000000Z,2017-06-04T10:53:50.000000Z,1
2017-06-04T10:53:20.000000Z,2017-06-04T10:54:30.000000Z,1
2017-06-04T11:33:30.000000Z,2017-06-04T11:34:20.000000Z,1
2017-06-04T12:03:30.000000Z,2017-06-04T12:04:50.000000Z,1
2017-06-04T12:04:20.000000Z,2017-06-04T12:05:10.000000Z,1
2017-06-04T12:35:30.000000Z,2017-06-04T12:36:30.000000Z,1
2017-06-04T12:53:00.000000Z,2017-06-04T12:53:50.000000Z,1
2017-06-04T12:53:30.000000Z,2017-06-04T12:54:20.000000Z,1
2017-06-04T14:07:40.000000Z,2017-06-04T14:08:30.000000Z,1
2017-06-04T14:08:00.000000Z,2017-06-04T14:08:50.000000Z,1
2017-06-04T18:30:50.000000Z,2017-06-04T18:32:20.000000Z,1
2017-06-04T19:34:00.000000Z,2017-06-04T19:35:10.000000Z,1
2017-06-04T20:37:30.000000Z,2017-06-04T20:38:30.000000Z,1
2017-06-04T20:38:00.000000Z,2017-06-04T20:38:50.000000Z,1
2017-06-04T21:29:30.000000Z,2017-06-04T21:30:50.000000Z,1
2017-06-05T15:09:10.000000Z,2017-06-05T15:10:10.000000Z,1
2017-06-05T16:08:30.000000Z,2017-06-05T16:09:50.000000Z,1
2017-06-05T16:50:50.000000Z,2017-06-05T16:52:40.000000Z,1
2017-06-05T18:02:40.000000Z,2017-06-05T18:03:30.000000Z,1
2017-06-05T21:13:50.000000Z,2017-06-05T21:14:40.000000Z,1
2017-06-05T22:07:20.000000Z,2017-06-05T22:08:40.000000Z,1
2017-06-05T22:11:10.000000Z,2017-06-05T22:12:00.000000Z,1
2017-06-05T22:11:40.000000Z,2017-06-05T22:13:20.000000Z,1
2017-06-06T02:03:20.000000Z,2017-06-06T02:04:10.000000Z,1
2017-06-06T02:21:50.000000Z,2017-06-06T02:22:50.000000Z,1
2017-06-06T02:22:50.000000Z,2017-06-06T02:24:00.000000Z,1
2017-06-06T02:31:00.000000Z,2017-06-06T02:33:00.000000Z,1
2017-06-06T02:33:40.000000Z,2017-06-06T02:34:30.000000Z,1
2017-06-06T02:59:20.000000Z,2017-06-06T03:00:40.000000Z,1
2017-06-06T03:00:10.000000Z,2017-06-06T03:01:00.000000Z,1
2017-06-06T04:34:20.000000Z,2017-06-06T04:35:50.000000Z,1
2017-06-06T07:17:50.000000Z,2017-06-06T07:18:40.000000Z,1
2017-06-06T12:18:20.000000Z,2017-06-06T12:19:10.000000Z,1
2017-06-06T14:38:00.000000Z,2017-06-06T14:38:50.000000Z,1
2017-06-06T17:26:10.000000Z,2017-06-06T17:27:30.000000Z,1
2017-06-06T18:34:00.000000Z,2017-06-06T18:35:10.000000Z,1
2017-06-07T01:06:00.000000Z,2017-06-07T01:07:00.000000Z,1
2017-06-07T01:06:30.000000Z,2017-06-07T01:07:20.000000Z,1
2017-06-07T04:11:00.000000Z,2017-06-07T04:12:30.000000Z,1
2017-06-07T11:09:00.000000Z,2017-06-07T11:09:50.000000Z,1
2017-06-07T20:49:20.000000Z,2017-06-07T20:50:20.000000Z,1
