starttimes,endtimes
2017-06-04T01:14:10Z,2017-06-04T01:15:50Z
2017-06-04T01:19:13Z,2017-06-04T01:21:19Z
2017-06-04T01:19:16Z,2017-06-04T01:21:22Z
2017-06-04T01:19:50Z,2017-06-04T01:22:30Z
2017-06-04T01:20:16Z,2017-06-04T01:22:09Z
2017-06-04T01:37:00Z,2017-06-04T01:38:20Z
2017-06-04T01:39:30Z,2017-06-04T01:40:40Z
2017-06-04T01:41:40Z,2017-06-04T01:43:40Z
2017-06-04T01:58:40Z,2017-06-04T02:00:10Z
2017-06-04T02:14:10Z,2017-06-04T02:15:10Z
2017-06-04T02:14:40Z,2017-06-04T02:16:10Z
2017-06-04T02:19:20Z,2017-06-04T02:20:20Z
2017-06-04T02:23:26Z,2017-06-04T02:25:45Z
2017-06-04T02:23:34Z,2017-06-04T02:25:53Z
2017-06-04T02:24:10Z,2017-06-04T02:25:40Z
2017-06-04T02:25:10Z,2017-06-04T02:26:00Z
2017-06-04T02:34:20Z,2017-06-04T02:35:20Z
2017-06-04T02:35:20Z,2017-06-04T02:36:50Z
2017-06-04T02:38:30Z,2017-06-04T02:40:00Z
2017-06-04T02:41:20Z,2017-06-04T02:43:10Z
2017-06-04T02:48:40Z,2017-06-04T02:50:00Z
2017-06-04T02:54:50Z,2017-06-04T02:55:40Z
2017-06-04T03:01:08Z,2017-06-04T03:03:01Z
2017-06-04T03:24:30Z,2017-06-04T03:26:00Z
2017-06-04T03:27:10Z,2017-06-04T03:28:30Z
2017-06-04T03:31:20Z,2017-06-04T03:32:20Z
2017-06-04T03:31:50Z,2017-06-04T03:33:00Z
2017-06-04T03:37:20Z,2017-06-04T03:38:20Z
2017-06-04T03:38:00Z,2017-06-04T03:39:40Z
2017-06-04T03:39:50Z,2017-06-04T03:41:10Z
2017-06-04T03:47:20Z,2017-06-04T03:48:50Z
2017-06-04T04:16:10Z,2017-06-04T04:17:40Z
2017-06-04T04:25:00Z,2017-06-04T04:26:20Z
2017-06-04T06:03:30Z,2017-06-04T06:04:50Z
2017-06-04T06:15:50Z,2017-06-04T06:17:00Z
2017-06-04T06:22:30Z,2017-06-04T06:24:00Z
2017-06-04T06:59:00Z,2017-06-04T07:00:20Z
2017-06-04T07:51:10Z,2017-06-04T07:52:00Z
2017-06-04T07:51:30Z,2017-06-04T07:52:30Z
2017-06-04T09:05:20Z,2017-06-04T09:06:30Z
2017-06-04T10:52:40Z,2017-06-04T10:53:50Z
2017-06-04T10:53:20Z,2017-06-04T10:54:30Z
2017-06-04T11:33:30Z,2017-06-04T11:34:20Z
2017-06-04T12:03:30Z,2017-06-04T12:04:50Z
2017-06-04T12:04:20Z,2017-06-04T12:05:10Z
2017-06-04T12:35:30Z,2017-06-04T12:36:30Z
2017-06-04T12:53:00Z,2017-06-04T12:53:50Z
2017-06-04T12:53:30Z,2017-06-04T12:54:20Z
2017-06-04T14:07:40Z,2017-06-04T14:08:30Z
2017-06-04T14:08:00Z,2017-06-04T14:08:50Z
2017-06-04T18:30:50Z,2017-06-04T18:32:20Z
2017-06-04T19:34:00Z,2017-06-04T19:35:10Z
2017-06-04T20:37:30Z,2017-06-04T20:38:30Z
2017-06-04T20:38:00Z,2017-06-04T20:38:50Z
2017-06-04T21:29:30Z,2017-06-04T21:30:50Z
2017-06-05T15:09:10Z,2017-06-05T15:10:10Z
2017-06-05T16:08:30Z,2017-06-05T16:09:50Z
2017-06-05T16:50:21Z,2017-06-05T16:52:27Z
2017-06-05T16:50:25Z,2017-06-05T16:52:18Z
2017-06-05T16:50:50Z,2017-06-05T16:52:40Z
2017-06-05T18:02:40Z,2017-06-05T18:03:30Z
2017-06-05T21:13:50Z,2017-06-05T21:14:40Z
2017-06-05T22:07:20Z,2017-06-05T22:08:40Z
2017-06-05T22:11:10Z,2017-06-05T22:12:00Z
2017-06-05T22:11:40Z,2017-06-05T22:13:20Z
2017-06-06T02:03:20Z,2017-06-06T02:04:10Z
2017-06-06T02:21:50Z,2017-06-06T02:22:50Z
2017-06-06T02:22:50Z,2017-06-06T02:24:00Z
2017-06-06T02:30:17Z,2017-06-06T02:32:49Z
2017-06-06T02:30:32Z,2017-06-06T02:32:51Z
2017-06-06T02:30:33Z,2017-06-06T02:32:52Z
2017-06-06T02:31:00Z,2017-06-06T02:33:00Z
2017-06-06T02:33:40Z,2017-06-06T02:34:30Z
2017-06-06T02:58:41Z,2017-06-06T03:00:34Z
2017-06-06T02:58:56Z,2017-06-06T03:00:36Z
2017-06-06T02:59:20Z,2017-06-06T03:00:40Z
2017-06-06T03:00:10Z,2017-06-06T03:01:00Z
2017-06-06T04:34:20Z,2017-06-06T04:35:50Z
2017-06-06T07:17:50Z,2017-06-06T07:18:40Z
2017-06-06T12:18:20Z,2017-06-06T12:19:10Z
2017-06-06T14:38:00Z,2017-06-06T14:38:50Z
2017-06-06T17:26:10Z,2017-06-06T17:27:30Z
2017-06-06T18:34:00Z,2017-06-06T18:35:10Z
2017-06-07T01:06:00Z,2017-06-07T01:07:00Z
2017-06-07T01:06:30Z,2017-06-07T01:07:20Z
2017-06-07T04:11:00Z,2017-06-07T04:12:30Z
2017-06-07T11:09:00Z,2017-06-07T11:09:50Z
2017-06-07T20:49:20Z,2017-06-07T20:50:20Z
2017-06-08T01:07:40Z,2017-06-08T01:08:40Z
2017-06-08T02:27:00Z,2017-06-08T02:28:20Z
2017-06-08T20:43:10Z,2017-06-08T20:44:00Z
2017-06-08T21:42:30Z,2017-06-08T21:43:20Z
2017-06-08T21:43:00Z,2017-06-08T21:44:20Z
2017-06-08T21:44:20Z,2017-06-08T21:45:30Z
2017-06-08T21:57:40Z,2017-06-08T21:58:30Z
2017-06-08T21:58:00Z,2017-06-08T21:58:50Z
2017-06-08T21:58:40Z,2017-06-08T21:59:30Z
2017-06-08T22:32:30Z,2017-06-08T22:33:40Z
2017-06-09T07:33:40Z,2017-06-09T07:35:00Z
2017-06-09T11:13:40Z,2017-06-09T11:14:30Z
2017-06-09T11:14:00Z,2017-06-09T11:15:00Z
2017-06-10T02:18:30Z,2017-06-10T02:20:10Z
2017-06-10T13:11:50Z,2017-06-10T13:13:10Z
2017-06-11T00:04:40Z,2017-06-11T00:06:10Z
2017-06-11T08:10:40Z,2017-06-11T08:11:40Z
2017-06-11T09:47:50Z,2017-06-11T09:49:10Z
2017-06-11T10:21:10Z,2017-06-11T10:22:30Z
